name,screen_name,description,followers_count,followers_count,friends_count,listed_count,favourites_count,created_at,location
Tom,dyingofwoe,🖤,194,194,183,0,1975,Mon Mar 23 10:41:27 +0000 2020,"HELL,, "
(っ◔◡◔)っ,SomedaynearLili,what is the point of a lukewarm love?,859,859,1686,1,4623,Mon Dec 29 20:59:25 +0000 2014,"Wyoming, USA"
ken,kemyuhh,i want to start over.,36,36,41,0,2,Mon Apr 06 08:06:40 +0000 2020,
kels,caligazes,"𝙙𝙖𝙧𝙡𝙞𝙣𝙜, 𝙩𝙝𝙚 𝙛𝙪𝙩𝙪𝙧𝙚'𝙨 𝙗𝙚𝙩𝙩𝙚𝙧 𝙩𝙝𝙖𝙣 𝙮𝙚𝙨𝙩𝙚𝙧𝙙𝙖𝙮 • 𝟐𝟏",2329,2329,1598,67,160753,Fri Jul 25 19:09:09 +0000 2014,she/her • 8123 
Rebecca Sugar,rebeccasugar,"Creator of the Cartoon Network show Steven Universe! My views are my own. She/her or they/them, thank you for caring!",594617,594617,189,1365,2469,Thu Aug 26 17:27:50 +0000 2010,LA
Jennifer,_jenniferr13,,69,69,93,1,675,Fri Jan 29 14:16:08 +0000 2016,
Luke Hemmings,Luke5SOS,lead falsetto in 5sos https://t.co/GsRrSmJVrN,10471339,10471339,20204,32402,607,Wed Nov 02 06:59:37 +0000 2011,
frankie🍼,frankiedankie_1,,29,29,60,0,1065,Fri Jun 07 05:27:07 +0000 2019,
ALT 106.1 KRAB Radio,ALT1061KRAB,ALT 106.1 KRAB Radio Bakersfield's Alternative! Home of @TheWoodyShow weekday mornings! Listen live NOW: https://t.co/S6GC5uPX8Z,1735,1735,403,52,1270,Wed Mar 04 08:53:03 +0000 2009,"Bakersfield, CA"
alina !,peaceandpanjc,+ life’s not out to get you,939,939,1442,40,335267,Mon Sep 14 04:21:56 +0000 2015,18 • she/her • socal 🌞
Kentington Clarke,KentingtonC,♊️♐️♎️ 💗,12406,12406,13414,77,16517,Thu Jul 10 18:27:21 +0000 2014,"Stolen Massapequas Land—LI, NY"
Ryan Bergara,ryansbergara,"co-founder, host, creator on @wearewatcher / host, ghost-detective, on BuzzFeed Unsolved",312509,312509,685,277,6205,Sun Mar 27 08:29:45 +0000 2011,
gallant,SoGallant,zebra / ology / sweet insomnia,108924,108924,60,507,10154,Sun Mar 08 16:38:22 +0000 2009,dont listen to my album
🪐,iloveyousaiah,RED. they/them. iloveyou.,15791,15791,5965,103,24623,Sun Feb 19 02:08:51 +0000 2012,
