name,screen_name,description,followers_count,followers_count,friends_count,listed_count,favourites_count,created_at,location
C E D R I C,CedricBadere,"I like to eat pies  
My loyalty lies with frogs  
This is a haiku",17,17,289,0,32,Mon Nov 18 04:02:52 +0000 2013,
hubcap,dOpeDigy,fuck with me and I’ll fuck you back,21,21,298,1,751,Thu Aug 22 05:08:08 +0000 2019,"Ilwaco, WA"
Mia,mia_kathleeya,ig: @mia.kathleeya,0,0,40,0,21,Fri May 01 19:57:25 +0000 2020,"Houston, TX"
Lukas Sandfeld,LukasSandfeld,,1,1,49,0,3,Thu Apr 25 23:43:42 +0000 2019,
kara❣️,kisskaraa,"if you love me too, you would give me you",4,4,35,0,1526,Sun Apr 19 19:56:56 +0000 2020,"Los Angeles, CA"
🆘,streamsofthots,just tryna talk about the wonderful genre of hip-hop,4,4,126,0,2,Sat Sep 14 09:50:22 +0000 2019,
gabe franco,gabefranco11,Livin’ in a dream that once was,2,2,63,0,24,Wed Feb 12 18:09:53 +0000 2020,
danni,thot_drop,,50,50,61,0,5339,Mon Dec 18 16:09:48 +0000 2017,wunderworld
Leotie,zooteddoot,i don't know what i'm doing 😎 6.17,46,46,241,0,545,Wed Jan 30 02:56:00 +0000 2013,"Edmonton, Alberta"
🖤 С т е ф а н и 🌙,bberrybby,Quarantine made me do it  //i follow back everybody\\,21,21,64,0,29,Thu Apr 30 21:59:06 +0000 2020,"North Rhine-Westphalia, German"
Clint Matthew,clintmatth3w,Blessed | Awake | Romans 8:18  |  https://t.co/ZmzWNvJjeC,734,734,585,0,17267,Sat Jan 26 18:00:20 +0000 2013,
Lamar_Sams™,Lamar_Sams,Chelsea FC | Ｕｒｂａｎ／Ａｒｔ Photographer/Director 📷 Check Out Some Of My Pics On Insta: SamsBroStory 📍London,1382,1382,1887,2,6014,Thu Jun 16 23:01:04 +0000 2011,The Bottom Of The Compass 
Vilo,AyoVilo,"producer, audio engineer.",25,25,180,0,236,Sun Dec 30 11:59:15 +0000 2018,Da Norf
